"time
References : ['I_sec2.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec2.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A
10.00 asec,2.000 aA
20.00 asec,5.750 aA
50.00 asec,91.99 aA
140.0 asec,4.346 fA
410.0 asec,185.5 fA
821.8 asec,1.643 pA
1.628 fsec,13.91 pA
2.628 fsec,59.10 pA
3.628 fsec,155.4 pA
4.628 fsec,322.5 pA
5.628 fsec,580.2 pA
6.628 fsec,948.0 pA
7.628 fsec,1.445 nA
8.628 fsec,2.092 nA
9.628 fsec,2.907 nA
10.63 fsec,3.910 nA
11.63 fsec,5.119 nA
12.63 fsec,6.555 nA
13.63 fsec,8.236 nA
14.63 fsec,10.18 nA
15.63 fsec,12.41 nA
16.63 fsec,14.94 nA
17.63 fsec,17.79 nA
18.63 fsec,20.98 nA
19.63 fsec,24.53 nA
20.63 fsec,28.45 nA
21.63 fsec,32.77 nA
22.63 fsec,37.50 nA
23.63 fsec,42.66 nA
24.63 fsec,48.28 nA
25.63 fsec,54.36 nA
26.63 fsec,60.92 nA
27.63 fsec,67.99 nA
28.63 fsec,75.59 nA
29.63 fsec,83.72 nA
30.63 fsec,92.41 nA
31.63 fsec,101.7 nA
32.63 fsec,111.5 nA
33.63 fsec,122.0 nA
34.63 fsec,133.1 nA
35.63 fsec,144.8 nA
36.63 fsec,157.2 nA
37.63 fsec,170.3 nA
38.63 fsec,184.1 nA
39.63 fsec,198.6 nA
40.63 fsec,213.8 nA
41.63 fsec,229.8 nA
42.63 fsec,246.5 nA
43.63 fsec,264.1 nA
44.63 fsec,282.4 nA
45.63 fsec,301.5 nA
46.63 fsec,321.5 nA
47.63 fsec,342.3 nA
48.63 fsec,364.0 nA
49.63 fsec,386.6 nA
50.63 fsec,410.0 nA
51.63 fsec,434.4 nA
52.63 fsec,459.7 nA
53.63 fsec,486.0 nA
54.63 fsec,513.2 nA
55.63 fsec,541.4 nA
56.63 fsec,570.6 nA
57.63 fsec,600.8 nA
58.63 fsec,632.0 nA
59.63 fsec,664.3 nA
60.63 fsec,697.6 nA
61.63 fsec,732.0 nA
62.63 fsec,767.5 nA
63.63 fsec,804.1 nA
64.63 fsec,841.8 nA
65.63 fsec,880.7 nA
66.63 fsec,920.7 nA
67.63 fsec,961.8 nA
68.63 fsec,1.004 uA
69.63 fsec,1.048 uA
70.63 fsec,1.092 uA
71.63 fsec,1.138 uA
72.63 fsec,1.186 uA
73.63 fsec,1.234 uA
74.63 fsec,1.284 uA
75.63 fsec,1.335 uA
76.63 fsec,1.387 uA
77.63 fsec,1.441 uA
78.63 fsec,1.496 uA
79.63 fsec,1.552 uA
80.63 fsec,1.610 uA
81.63 fsec,1.669 uA
82.63 fsec,1.729 uA
83.63 fsec,1.791 uA
84.63 fsec,1.855 uA
85.63 fsec,1.919 uA
86.63 fsec,1.985 uA
87.63 fsec,2.053 uA
88.63 fsec,2.122 uA
89.63 fsec,2.193 uA
90.63 fsec,2.265 uA
91.63 fsec,2.338 uA
92.63 fsec,2.413 uA
93.63 fsec,2.490 uA
94.63 fsec,2.568 uA
95.63 fsec,2.648 uA
96.63 fsec,2.729 uA
97.63 fsec,2.812 uA
98.63 fsec,2.897 uA
99.63 fsec,2.983 uA
100.6 fsec,3.071 uA
101.6 fsec,3.160 uA
102.6 fsec,3.251 uA
103.6 fsec,3.344 uA
104.6 fsec,3.438 uA
105.6 fsec,3.535 uA
106.6 fsec,3.632 uA
107.6 fsec,3.732 uA
108.6 fsec,3.833 uA
109.6 fsec,3.936 uA
110.6 fsec,4.041 uA
111.6 fsec,4.148 uA
112.6 fsec,4.256 uA
113.6 fsec,4.367 uA
114.6 fsec,4.479 uA
115.6 fsec,4.592 uA
116.6 fsec,4.708 uA
117.6 fsec,4.826 uA
118.6 fsec,4.945 uA
119.6 fsec,5.066 uA
120.6 fsec,5.189 uA
121.6 fsec,5.314 uA
122.6 fsec,5.441 uA
123.6 fsec,5.570 uA
124.6 fsec,5.701 uA
125.6 fsec,5.834 uA
126.6 fsec,5.969 uA
127.6 fsec,6.105 uA
128.6 fsec,6.244 uA
129.6 fsec,6.385 uA
130.6 fsec,6.527 uA
131.6 fsec,6.672 uA
132.6 fsec,6.819 uA
133.6 fsec,6.967 uA
134.6 fsec,7.118 uA
135.6 fsec,7.271 uA
136.6 fsec,7.426 uA
137.6 fsec,7.583 uA
138.6 fsec,7.742 uA
139.6 fsec,7.903 uA
140.6 fsec,8.067 uA
141.6 fsec,8.232 uA
142.6 fsec,8.400 uA
143.6 fsec,8.569 uA
144.6 fsec,8.741 uA
145.6 fsec,8.915 uA
146.6 fsec,9.092 uA
147.6 fsec,9.270 uA
148.6 fsec,9.451 uA
149.6 fsec,9.634 uA
150.6 fsec,9.819 uA
151.6 fsec,10.01 uA
152.6 fsec,10.20 uA
153.6 fsec,10.39 uA
154.6 fsec,10.58 uA
155.6 fsec,10.78 uA
156.6 fsec,10.98 uA
157.6 fsec,11.18 uA
158.6 fsec,11.38 uA
159.6 fsec,11.59 uA
